position,shortcode,kind,url,canonical_url,discovered_at,discovery_round,visible_index
1,DXRnD14PkvI,reel,https://www.instagram.com/thedogist/reel/DXRnD14PkvI/,https://www.instagram.com/reel/DXRnD14PkvI/,2026-06-19T22:17:07.106Z,0,2
2,DTL78iCkQE7,reel,https://www.instagram.com/thedogist/reel/DTL78iCkQE7/,https://www.instagram.com/reel/DTL78iCkQE7/,2026-06-19T22:17:07.116Z,0,3
3,DP1fsx0kRLT,reel,https://www.instagram.com/thedogist/reel/DP1fsx0kRLT/,https://www.instagram.com/reel/DP1fsx0kRLT/,2026-06-19T22:17:07.117Z,0,4
4,DZyKcM4EZog,p,https://www.instagram.com/thedogist/p/DZyKcM4EZog/,https://www.instagram.com/p/DZyKcM4EZog/,2026-06-19T22:17:07.117Z,0,5
5,DZvT0dwGuTX,p,https://www.instagram.com/thedogist/p/DZvT0dwGuTX/,https://www.instagram.com/p/DZvT0dwGuTX/,2026-06-19T22:17:07.118Z,0,6
6,DZs8ATQhQDn,reel,https://www.instagram.com/thedogist/reel/DZs8ATQhQDn/,https://www.instagram.com/reel/DZs8ATQhQDn/,2026-06-19T22:17:07.118Z,0,7
7,DZsSngvEdcq,p,https://www.instagram.com/thedogist/p/DZsSngvEdcq/,https://www.instagram.com/p/DZsSngvEdcq/,2026-06-19T22:17:07.119Z,0,8
8,DZp-5B8RwWk,reel,https://www.instagram.com/thedogist/reel/DZp-5B8RwWk/,https://www.instagram.com/reel/DZp-5B8RwWk/,2026-06-19T22:17:07.119Z,0,9
9,DZkzFnZEbfS,p,https://www.instagram.com/thedogist/p/DZkzFnZEbfS/,https://www.instagram.com/p/DZkzFnZEbfS/,2026-06-19T22:17:07.119Z,0,10
10,DZh1VloBr22,reel,https://www.instagram.com/thedogist/reel/DZh1VloBr22/,https://www.instagram.com/reel/DZh1VloBr22/,2026-06-19T22:17:07.120Z,0,11
11,DZgEAhQhSeA,reel,https://www.instagram.com/thedogist/reel/DZgEAhQhSeA/,https://www.instagram.com/reel/DZgEAhQhSeA/,2026-06-19T22:17:07.120Z,0,12
12,DZdh9E2RNif,reel,https://www.instagram.com/thedogist/reel/DZdh9E2RNif/,https://www.instagram.com/reel/DZdh9E2RNif/,2026-06-19T22:17:07.121Z,0,13
13,DZa7-VjxNrP,reel,https://www.instagram.com/thedogist/reel/DZa7-VjxNrP/,https://www.instagram.com/reel/DZa7-VjxNrP/,2026-06-19T22:17:07.121Z,0,14
14,DZYW8xjEWbq,p,https://www.instagram.com/thedogist/p/DZYW8xjEWbq/,https://www.instagram.com/p/DZYW8xjEWbq/,2026-06-19T22:17:07.121Z,0,15
15,DZVd_QlodIr,reel,https://www.instagram.com/thedogist/reel/DZVd_QlodIr/,https://www.instagram.com/reel/DZVd_QlodIr/,2026-06-19T22:17:07.122Z,0,16
16,DZP9fjPRocs,reel,https://www.instagram.com/thedogist/reel/DZP9fjPRocs/,https://www.instagram.com/reel/DZP9fjPRocs/,2026-06-19T22:17:07.122Z,0,17
17,DZOCdKEhaDv,reel,https://www.instagram.com/thedogist/reel/DZOCdKEhaDv/,https://www.instagram.com/reel/DZOCdKEhaDv/,2026-06-19T22:17:07.122Z,0,18
18,DZNHogCxDr9,reel,https://www.instagram.com/thedogist/reel/DZNHogCxDr9/,https://www.instagram.com/reel/DZNHogCxDr9/,2026-06-19T22:17:07.123Z,0,19
19,DZI1tQvIMGz,reel,https://www.instagram.com/thedogist/reel/DZI1tQvIMGz/,https://www.instagram.com/reel/DZI1tQvIMGz/,2026-06-19T22:17:07.123Z,0,20
20,DZGUirTR4cX,reel,https://www.instagram.com/thedogist/reel/DZGUirTR4cX/,https://www.instagram.com/reel/DZGUirTR4cX/,2026-06-19T22:17:07.123Z,0,21
21,DZDqSgRIFGB,reel,https://www.instagram.com/thedogist/reel/DZDqSgRIFGB/,https://www.instagram.com/reel/DZDqSgRIFGB/,2026-06-19T22:17:07.124Z,0,22
22,DZBhxuSEby7,p,https://www.instagram.com/thedogist/p/DZBhxuSEby7/,https://www.instagram.com/p/DZBhxuSEby7/,2026-06-19T22:17:07.124Z,0,23
23,DY-raT5kShI,p,https://www.instagram.com/thedogist/p/DY-raT5kShI/,https://www.instagram.com/p/DY-raT5kShI/,2026-06-19T22:17:07.124Z,0,24
24,DY7_nkWIudG,reel,https://www.instagram.com/thedogist/reel/DY7_nkWIudG/,https://www.instagram.com/reel/DY7_nkWIudG/,2026-06-19T22:17:07.125Z,0,25
25,DY5ialOxAJy,reel,https://www.instagram.com/thedogist/reel/DY5ialOxAJy/,https://www.instagram.com/reel/DY5ialOxAJy/,2026-06-19T22:17:08.731Z,1,26
26,DY2ya8JIzBL,reel,https://www.instagram.com/thedogist/reel/DY2ya8JIzBL/,https://www.instagram.com/reel/DY2ya8JIzBL/,2026-06-19T22:17:08.732Z,1,27
27,DYxt7vXEfe-,p,https://www.instagram.com/thedogist/p/DYxt7vXEfe-/,https://www.instagram.com/p/DYxt7vXEfe-/,2026-06-19T22:17:08.732Z,1,28
28,DYubPMMRNWE,reel,https://www.instagram.com/thedogist/reel/DYubPMMRNWE/,https://www.instagram.com/reel/DYubPMMRNWE/,2026-06-19T22:17:08.732Z,1,29
29,DYsm8CwkfTu,p,https://www.instagram.com/thedogist/p/DYsm8CwkfTu/,https://www.instagram.com/p/DYsm8CwkfTu/,2026-06-19T22:17:08.733Z,1,30
30,DYp4B3jgwSn,reel,https://www.instagram.com/shortyawards/reel/DYp4B3jgwSn/,https://www.instagram.com/reel/DYp4B3jgwSn/,2026-06-19T22:17:08.733Z,1,31
31,DYptuk8GtGy,p,https://www.instagram.com/thedogist/p/DYptuk8GtGy/,https://www.instagram.com/p/DYptuk8GtGy/,2026-06-19T22:17:08.734Z,1,32
32,DYpHHiuR3kU,reel,https://www.instagram.com/thedogist/reel/DYpHHiuR3kU/,https://www.instagram.com/reel/DYpHHiuR3kU/,2026-06-19T22:17:08.734Z,1,33
33,DYnazeqxZh5,reel,https://www.instagram.com/thedogist/reel/DYnazeqxZh5/,https://www.instagram.com/reel/DYnazeqxZh5/,2026-06-19T22:17:08.734Z,1,34
34,DYkzuZIRHFE,reel,https://www.instagram.com/thedogist/reel/DYkzuZIRHFE/,https://www.instagram.com/reel/DYkzuZIRHFE/,2026-06-19T22:17:08.735Z,1,35
35,DYkDVQKN3Za,reel,https://www.instagram.com/nycacc/reel/DYkDVQKN3Za/,https://www.instagram.com/reel/DYkDVQKN3Za/,2026-06-19T22:17:08.735Z,1,36
36,DYiXD3WEcwm,p,https://www.instagram.com/thedogist/p/DYiXD3WEcwm/,https://www.instagram.com/p/DYiXD3WEcwm/,2026-06-19T22:17:08.736Z,1,37
37,DYh1XcIxexg,reel,https://www.instagram.com/thedogist/reel/DYh1XcIxexg/,https://www.instagram.com/reel/DYh1XcIxexg/,2026-06-19T22:17:10.341Z,2,38
38,DYfseNWRJdY,reel,https://www.instagram.com/thedogist/reel/DYfseNWRJdY/,https://www.instagram.com/reel/DYfseNWRJdY/,2026-06-19T22:17:10.342Z,2,39
39,DYdbhzSEdAy,p,https://www.instagram.com/thedogist/p/DYdbhzSEdAy/,https://www.instagram.com/p/DYdbhzSEdAy/,2026-06-19T22:17:10.342Z,2,40
40,DYZoGV5xc-7,reel,https://www.instagram.com/thedogist/reel/DYZoGV5xc-7/,https://www.instagram.com/reel/DYZoGV5xc-7/,2026-06-19T22:17:10.342Z,2,41
41,DYYFuOQR_XO,reel,https://www.instagram.com/thedogist/reel/DYYFuOQR_XO/,https://www.instagram.com/reel/DYYFuOQR_XO/,2026-06-19T22:17:10.342Z,2,42
42,DYVizzrRutU,reel,https://www.instagram.com/thedogist/reel/DYVizzrRutU/,https://www.instagram.com/reel/DYVizzrRutU/,2026-06-19T22:17:10.343Z,2,43
43,DYS0AD8xUHT,reel,https://www.instagram.com/thedogist/reel/DYS0AD8xUHT/,https://www.instagram.com/reel/DYS0AD8xUHT/,2026-06-19T22:17:10.343Z,2,44
44,DYP8IqWkbhN,p,https://www.instagram.com/thedogist/p/DYP8IqWkbhN/,https://www.instagram.com/p/DYP8IqWkbhN/,2026-06-19T22:17:10.343Z,2,45
45,DYNqkPIhG0M,reel,https://www.instagram.com/thedogist/reel/DYNqkPIhG0M/,https://www.instagram.com/reel/DYNqkPIhG0M/,2026-06-19T22:17:10.343Z,2,46
46,DYKLczCyeR7,reel,https://www.instagram.com/thedogist/reel/DYKLczCyeR7/,https://www.instagram.com/reel/DYKLczCyeR7/,2026-06-19T22:17:10.343Z,2,47
47,DYIPkVcP3QY,reel,https://www.instagram.com/thedogist/reel/DYIPkVcP3QY/,https://www.instagram.com/reel/DYIPkVcP3QY/,2026-06-19T22:17:10.343Z,2,48
48,DYF-_83xsIa,reel,https://www.instagram.com/thedogist/reel/DYF-_83xsIa/,https://www.instagram.com/reel/DYF-_83xsIa/,2026-06-19T22:17:10.344Z,2,49
