shortcode,kind,url,status,attempts,post_like_count,repost_count,captured_comments,displayed_comment_count,target_comment_count,target_comment_source,capture_rate_estimate,unique_commenters,total_comment_likes,mean_comment_likes,median_comment_likes,mean_text_length,median_text_length,posted_at,stop_reason,exhaustion_reason,effective_concurrency,worker_id,active_hydrated_at,active_hydrate_ms,hydrate_visibility_state,hydrate_comments_found,hydrate_target_comment_count,active_scrape_started_at,active_scrape_finished_at,active_scroll_rounds,active_visibility_states,background_scroll_visibility_states,caption_preview
DXRnD14PkvI,reel,https://www.instagram.com/thedogist/reel/DXRnD14PkvI/,partial,1,36000,,221,270,270,og_description,0.8185,214,3231,14.62,0,58.56,41,2026-04-18T13:45:05.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-01,2026-06-19T23:09:27.085Z,6686,visible,16,270,2026-06-19T23:09:27.086Z,2026-06-19T23:12:21.499Z,77,visible,visible,"Elsa didn’t like the blueberry biscuits I made for her (at first), so I went to Washington Square Park to get a second (...and third..and fourth) opinion from s"
DTL78iCkQE7,reel,https://www.instagram.com/thedogist/reel/DTL78iCkQE7/,partial,1,196000,646,48,2324,2324,og_description,0.0207,43,15775,328.65,4.5,138.19,44,2026-01-06T22:49:09.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-02,2026-06-19T23:12:28.190Z,6673,visible,15,2324,2026-06-19T23:12:28.190Z,2026-06-19T23:13:41.563Z,31,visible,visible,"Jack, Australian Shepherd (13 y/o), Hudson & Jane St., New York, NY • “He’s got decent days, and he’s got days or weeks in which he’s pretty aloof. He’s diabeti"
DP1fsx0kRLT,reel,https://www.instagram.com/thedogist/reel/DP1fsx0kRLT/,partial,1,68000,733,283,625,625,og_description,0.4528,272,3559,12.58,0,56.78,28,2025-10-16T01:43:19.000Z,active_visibility_lost,active_visibility_lost,20,worker-03,2026-06-19T23:13:49.492Z,7903,visible,15,625,2026-06-19T23:13:49.493Z,2026-06-19T23:16:59.555Z,82,visible|hidden,visible|hidden,"thedogistVerified Edited•35wWelcome to DOGS with Elias Weiss Friedman! (Full episodes on YouTube) Each week, I’ll take you on a walk around NYC with a special g"
DZyKcM4EZog,p,https://www.instagram.com/thedogist/p/DZyKcM4EZog/,failed,1,0,,0,0,0,,,0,0,0,0,0,0,,post_hydrate_timeout,post_hydrate_timeout,20,worker-04,,,,0,,,,,,,
DZvT0dwGuTX,p,https://www.instagram.com/thedogist/p/DZvT0dwGuTX/,partial,1,56000,458,30,212,212,og_description,0.1415,30,1222,40.73,4,53.83,41,2026-06-18T19:37:06.000Z,active_visibility_lost,active_visibility_lost,20,worker-05,2026-06-19T23:17:40.478Z,7877,visible,15,212,2026-06-19T23:17:40.479Z,2026-06-19T23:18:03.487Z,6,visible|hidden,visible|hidden,"Dogs at 2026 The Knicks Championship Parade: Ziggy, Coco, Bear, Cub, Parker, & Seth • Cheers to @nyknicks for going all the way! Knicks in FIVE! 🏆The Knicks Do"
DZs8ATQhQDn,reel,https://www.instagram.com/thedogist/reel/DZs8ATQhQDn/,partial,1,25000,,16,179,179,og_description,0.0894,16,377,23.56,7,97.63,78.5,2026-06-17T21:30:13.000Z,active_visibility_lost,active_visibility_lost,20,worker-06,2026-06-19T23:18:07.495Z,3979,hidden,16,179,2026-06-19T23:18:07.496Z,2026-06-19T23:18:10.484Z,0,hidden,hidden,"Storm & Eevee, mixes (5 m/o), 72nd & Madison Ave., New York, NY • “This is why she’s Storm – she’s a force of nature. It’s very fitting because she was found in"
DZsSngvEdcq,p,https://www.instagram.com/thedogist/p/DZsSngvEdcq/,partial,1,19000,62,74,87,87,og_description,0.8506,71,821,11.09,2,37.73,28.5,2026-06-17T15:28:51.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-07,2026-06-19T23:18:16.905Z,6410,visible,15,87,2026-06-19T23:18:16.906Z,2026-06-19T23:19:20.244Z,29,visible,visible,An NBA Championship deserves a championship dog photo! 🏀🐶Join Elsa and me (and hundreds of @nyknicks fans and their dogs) tomorrow night in Washington Square 
DZp-5B8RwWk,reel,https://www.instagram.com/thedogist/reel/DZp-5B8RwWk/,partial_unknown_target,1,0,,44,,,,,40,298,6.77,3,45.5,25.5,2026-06-16T18:02:10.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-08,2026-06-19T23:19:28.144Z,7886,visible,15,,2026-06-19T23:19:28.145Z,2026-06-19T23:20:20.884Z,22,visible,visible,"thedogistVerified Edited•3d🏀🐶 KNICKS DOGIST PHOTO MEETUP 🐶🏀Come celebrate the @nyknicks championship with me and your dog!Join me this Thursday, June 18th f"
DZkzFnZEbfS,p,https://www.instagram.com/thedogist/p/DZkzFnZEbfS/,partial,1,29000,31,146,151,151,og_description,0.9669,144,362,2.48,0,38.25,22,2026-06-14T17:38:39.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-09,2026-06-19T23:20:23.974Z,3070,visible,15,151,2026-06-19T23:20:23.975Z,2026-06-19T23:21:53.432Z,40,visible,visible,"Miso, Corgi/Beagle mix, Prince & Lafayette St., New York, NY • “He almost never barks. He’s my coworker’s dog – I’m on Miso duty. He’s one of the best dogs in t"
DZh1VloBr22,reel,https://www.instagram.com/thedogist/reel/DZh1VloBr22/,partial,1,24000,176,274,406,406,og_description,0.6749,262,1915,6.99,1,111.28,66,2026-06-13T14:00:17.000Z,active_visibility_lost,active_visibility_lost,20,worker-10,2026-06-19T23:22:01.331Z,7886,visible,15,406,2026-06-19T23:22:01.332Z,2026-06-19T23:25:59.557Z,103,visible|hidden,visible|hidden,"I caught up with my mom, the founder of @breastcancerorg , to chat about caring for your dogs during cancer treatment and the care they provide to you. No surpr"
